id,name,gender,language,accent,preview-url,provider,provider-id,type,is-active,metadata,wpm
21m00Tcm4TlvDq8ikWAM,Rachel,female,,american,https://storage.googleapis.com/eleven-public-prod/premade/voices/21m00Tcm4TlvDq8ikWAM/b4928a68-c03b-411f-8533-3d5c299fd451.mp3,elevenlabs,21m00Tcm4TlvDq8ikWAM,standard,,"{""labels"":{""accent"":""american"",""description"":""calm"",""age"":""young"",""gender"":""female"",""use_case"":""narration""}}",155.35691657833
29vD33N1CtxCmqQRPOHJ,Drew,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/29vD33N1CtxCmqQRPOHJ/b99fc51d-12d3-4312-b480-a8a45a7d51ef.mp3,elevenlabs,29vD33N1CtxCmqQRPOHJ,standard,,"{""labels"":{""accent"":""American"",""description"":""well-rounded"",""age"":""middle-aged"",""gender"":""male"",""use_case"":""news""}}",133.0359075417
2EiwWnXFnvU5JabPnv8n,Clyde,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/2EiwWnXFnvU5JabPnv8n/65d80f52-703f-4cae-a91d-75d4e200ed02.mp3,elevenlabs,2EiwWnXFnvU5JabPnv8n,standard,,"{""labels"":{""accent"":""American"",""description"":""war veteran"",""age"":""middle-aged"",""gender"":""male"",""use_case"":""characters""}}",130.55913371831
5Q0t7uMcjvnagumLfvZi,Paul,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/5Q0t7uMcjvnagumLfvZi/a4aaa30e-54c4-44a4-8e46-b9b00505d963.mp3,elevenlabs,5Q0t7uMcjvnagumLfvZi,standard,,"{""labels"":{""accent"":""American"",""description"":""authoritative"",""age"":""middle-aged"",""gender"":""male"",""use_case"":""news""}}",137.09033772027
AZnzlk1XvdvUeBnXmlld,Domi,female,,american,https://storage.googleapis.com/eleven-public-prod/premade/voices/AZnzlk1XvdvUeBnXmlld/b3c36b01-f80d-4b16-a698-f83682dee84c.mp3,elevenlabs,AZnzlk1XvdvUeBnXmlld,standard,,"{""labels"":{""accent"":""american"",""description"":""strong"",""age"":""young"",""gender"":""female"",""use_case"":""narration""}}",155.52024120995
CYw3kZ02Hs0563khs1Fj,Dave,male,en,British,https://storage.googleapis.com/eleven-public-prod/premade/voices/CYw3kZ02Hs0563khs1Fj/872cb056-45d3-419e-b5c6-de2b387a93a0.mp3,elevenlabs,CYw3kZ02Hs0563khs1Fj,standard,,"{""labels"":{""accent"":""British"",""description"":""conversational"",""age"":""young"",""gender"":""male"",""use_case"":""characters""}}",149.22359320533
D38z5RcWu1voky8WS1ja,Fin,male,en,Irish,https://storage.googleapis.com/eleven-public-prod/premade/voices/D38z5RcWu1voky8WS1ja/a470ba64-1e72-46d9-ba9d-030c4155e2d2.mp3,elevenlabs,D38z5RcWu1voky8WS1ja,standard,,"{""labels"":{""accent"":""Irish"",""description"":""sailor"",""age"":""old"",""gender"":""male"",""use_case"":""characters""}}",113.54587095444
EXAVITQu4vr4xnSDxMaL,Sarah,female,en,american,https://storage.googleapis.com/eleven-public-prod/premade/voices/EXAVITQu4vr4xnSDxMaL/01a3e33c-6e99-4ee7-8543-ff2216a32186.mp3,elevenlabs,EXAVITQu4vr4xnSDxMaL,standard,1,"{""labels"":{""accent"":""american"",""description"":""soft"",""age"":""young"",""gender"":""female"",""use_case"":""news""}}",144.60863353972
ErXwobaYiN019PkySvjV,Antoni,male,,american,https://storage.googleapis.com/eleven-public-prod/premade/voices/ErXwobaYiN019PkySvjV/2d5ab2a3-4578-470f-b797-6331e46a7d55.mp3,elevenlabs,ErXwobaYiN019PkySvjV,standard,,"{""labels"":{""accent"":""american"",""description"":""well-rounded"",""age"":""young"",""gender"":""male"",""use_case"":""narration""}}",140.54097576481
FGY2WhTYpPnrIDTdsKH5,Laura,female,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/FGY2WhTYpPnrIDTdsKH5/67341759-ad08-41a5-be6e-de12fe448618.mp3,elevenlabs,FGY2WhTYpPnrIDTdsKH5,standard,1,"{""labels"":{""accent"":""American"",""description"":""upbeat"",""age"":""young"",""gender"":""female"",""use_case"":""social media""}}",157.17029478458
GBv7mTt0atIp3Br8iCZE,Thomas,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/GBv7mTt0atIp3Br8iCZE/98542988-5267-4148-9a9e-baa8c4f14644.mp3,elevenlabs,GBv7mTt0atIp3Br8iCZE,standard,,"{""labels"":{""accent"":""American"",""description"":""calm"",""age"":""young"",""gender"":""male"",""use_case"":""meditation""}}",114.65035655834
IKne3meq5aSn9XLyUdCD,Charlie,male,en,Australian,https://storage.googleapis.com/eleven-public-prod/premade/voices/IKne3meq5aSn9XLyUdCD/102de6f2-22ed-43e0-a1f1-111fa75c5481.mp3,elevenlabs,IKne3meq5aSn9XLyUdCD,standard,1,"{""labels"":{""accent"":""Australian"",""description"":""natural"",""age"":""middle aged"",""gender"":""male"",""use_case"":""conversational""}}",144.99153530136
JBFqnCBsd6RMkjVDRZzb,George,male,en,British,https://storage.googleapis.com/eleven-public-prod/premade/voices/JBFqnCBsd6RMkjVDRZzb/e6206d1a-0721-4787-aafb-06a6e705cac5.mp3,elevenlabs,JBFqnCBsd6RMkjVDRZzb,standard,1,"{""labels"":{""accent"":""British"",""description"":""warm"",""age"":""middle aged"",""gender"":""male"",""use_case"":""narration""}}",149.86121701082
LcfcDJNUP1GQjkzn1xUU,Emily,female,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/LcfcDJNUP1GQjkzn1xUU/e4b994b7-9713-4238-84f3-add8fccaaccd.mp3,elevenlabs,LcfcDJNUP1GQjkzn1xUU,standard,,"{""labels"":{""accent"":""American"",""description"":""calm"",""age"":""young"",""gender"":""female"",""use_case"":""meditation""}}",82.234036679735
MF3mGyEYCl7XYWbV9V6O,Elli,female,,american,https://storage.googleapis.com/eleven-public-prod/premade/voices/MF3mGyEYCl7XYWbV9V6O/d8ecadea-9e48-4e5d-868a-2ec3d7397861.mp3,elevenlabs,MF3mGyEYCl7XYWbV9V6O,standard,,"{""labels"":{""accent"":""american"",""description"":""emotional"",""age"":""young"",""gender"":""female"",""use_case"":""narration""}}",158.48490266419
N2lVS1w4EtoT3dr4eOWO,Callum,male,en,Transatlantic,https://storage.googleapis.com/eleven-public-prod/premade/voices/N2lVS1w4EtoT3dr4eOWO/ac833bd8-ffda-4938-9ebc-b0f99ca25481.mp3,elevenlabs,N2lVS1w4EtoT3dr4eOWO,standard,1,"{""labels"":{""accent"":""Transatlantic"",""description"":""intense"",""age"":""middle-aged"",""gender"":""male"",""use_case"":""characters""}}",131.40118983068
ODq5zmih8GrVes37Dizd,Patrick,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/ODq5zmih8GrVes37Dizd/0ebec87a-2569-4976-9ea5-0170854411a9.mp3,elevenlabs,ODq5zmih8GrVes37Dizd,standard,,"{""labels"":{""accent"":""American"",""description"":""shouty"",""age"":""middle-aged"",""gender"":""male"",""use_case"":""characters""}}",158.07497731547
SOYHLrjzK2X1ezoPC6cr,Harry,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/SOYHLrjzK2X1ezoPC6cr/86d178f6-f4b6-4e0e-85be-3de19f490794.mp3,elevenlabs,SOYHLrjzK2X1ezoPC6cr,standard,,"{""labels"":{""accent"":""American"",""description"":""anxious"",""age"":""young"",""gender"":""male"",""use_case"":""characters""}}",147.94287502823
TX3LPaxmHKxFdv7VOQHJ,Liam,male,en,American,https://storage.googleapis.com/eleven-public-prod/premade/voices/TX3LPaxmHKxFdv7VOQHJ/63148076-6363-42db-aea8-31424308b92c.mp3,elevenlabs,TX3LPaxmHKxFdv7VOQHJ,standard,1,"{""labels"":{""accent"":""American"",""description"":""articulate"",""age"":""young"",""gender"":""male"",""use_case"":""narration""}}",150.57308564466
ThT5KcBeYPX3keUQqHPh,Dorothy,female,en,British,https://storage.googleapis.com/eleven-public-prod/premade/voices/ThT5KcBeYPX3keUQqHPh/981f0855-6598-48d2-9f8f-b6d92fbbe3fc.mp3,elevenlabs,ThT5KcBeYPX3keUQqHPh,standard,,"{""labels"":{""accent"":""British"",""description"":""pleasant"",""age"":""young"",""gender"":""female"",""use_case"":""narration""}}",127.93631775921
